Subdomain,IP,SOA-Primary-NS
campus.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
cpcontacts.ssharma.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.radhakrishna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.homecelllab.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
lstudio.iitgn.ac.in,14.139.98.215,dnsm.iitgn.ac.in.
cpanel.vijay.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.radhakrishna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.kabeer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.demo.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.nitin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.bireswar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.mkumar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.ftpsrv17.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.emila.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
biomed.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
bireswar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.cst.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.chandanmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.sjolad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.naran.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.ssharma.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
iitgn.ac.in,72.1.241.188,
www.support.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.manishk.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
tech2impact.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
cpanel.ftpsrv17.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.kprasad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.rupak.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.mkumar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.emila.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
covid19.iitgn.ac.in,14.139.98.214,dnsm.iitgn.ac.in.
cpanel.sudiptas.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.barath.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cogs.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
cpanel.monamehta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
homepages.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
www.viru.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.sriram.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.ssharma.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.joycee.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.radhakrishna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.naran.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.sjolad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
